location,date,temp_max,temp_min,precipitation,rain,snowfall,wind_speed,temperature_range,heavy_rain_flag,snow_flag,strong_wind_flag
Manali,2021-01-01,9.4,4.9,0.0,0.0,0.0,4.7,4.5,0,0,0
Manali,2021-01-02,7.8,5.7,6.4,0.0,4.48,4.0,2.0999999999999996,0,1,0
Manali,2021-01-03,8.7,5.6,18.4,0.0,12.88,4.8,3.0999999999999996,0,1,0
Manali,2021-01-04,8.9,5.6,4.0,0.0,2.8,5.4,3.3000000000000007,0,1,0
Manali,2021-01-05,7.2,6.0,48.5,0.2,33.81,3.8,1.2000000000000002,0,1,0
Manali,2021-01-06,8.0,5.3,26.0,0.1,18.13,4.7,2.7,0,1,0
Manali,2021-01-07,10.5,5.3,0.0,0.0,0.0,5.5,5.2,0,0,0
Manali,2021-01-08,9.9,7.0,0.0,0.0,0.0,6.9,2.9000000000000004,0,0,0
Manali,2021-01-09,10.2,4.8,0.0,0.0,0.0,7.6,5.3999999999999995,0,0,0
Manali,2021-01-10,10.9,4.8,0.0,0.0,0.0,4.9,6.1000000000000005,0,0,0
Manali,2021-01-11,10.8,4.8,0.0,0.0,0.0,5.1,6.000000000000001,0,0,0
Manali,2021-01-12,10.1,4.8,0.0,0.0,0.0,4.8,5.3,0,0,0
Manali,2021-01-13,10.5,5.0,0.0,0.0,0.0,4.9,5.5,0,0,0
Manali,2021-01-14,12.9,7.9,0.0,0.0,0.0,4.7,5.0,0,0,0
Manali,2021-01-15,14.0,8.8,0.5,0.0,0.35,4.0,5.199999999999999,0,1,0
Manali,2021-01-16,12.1,6.3,0.0,0.0,0.0,5.4,5.8,0,0,0
Manali,2021-01-17,13.2,8.9,0.0,0.0,0.0,4.3,4.299999999999999,0,0,0
Manali,2021-01-18,10.4,5.3,12.4,0.0,8.68,5.9,5.1000000000000005,0,1,0
Manali,2021-01-19,10.7,5.1,10.4,0.0,7.28,5.7,5.6,0,1,0
Manali,2021-01-20,10.8,5.1,15.9,0.2,10.99,5.4,5.700000000000001,0,1,0
Manali,2021-01-21,14.2,6.3,0.0,0.0,0.0,5.4,7.8999999999999995,0,0,0
Manali,2021-01-22,14.3,8.1,0.0,0.0,0.0,7.0,6.200000000000001,0,0,0
Manali,2021-01-23,7.0,2.7,19.8,0.0,13.86,7.1,4.3,0,1,0
Manali,2021-01-24,7.3,3.0,13.3,0.0,9.38,4.9,4.3,0,1,0
Manali,2021-01-25,8.8,3.3,5.8,0.1,3.99,4.3,5.500000000000001,0,1,0
Manali,2021-01-26,9.1,2.7,11.0,0.0,7.7,4.0,6.3999999999999995,0,1,0
Manali,2021-01-27,8.5,2.2,0.6,0.0,0.42,4.3,6.3,0,1,0
Manali,2021-01-28,6.2,1.0,2.2,0.0,1.54,4.3,5.2,0,1,0
Manali,2021-01-29,6.8,-1.0,0.0,0.0,0.0,4.6,7.8,0,0,0
Manali,2021-01-30,8.6,-0.4,0.0,0.0,0.0,4.9,9.0,0,0,0
Manali,2021-01-31,10.4,3.9,7.9,0.0,5.53,3.7,6.5,0,1,0
Manali,2021-02-01,7.9,3.9,19.1,0.0,13.37,4.0,4.0,0,1,0
Manali,2021-02-02,10.4,3.7,19.8,0.0,13.86,4.4,6.7,0,1,0
Manali,2021-02-03,4.3,1.2,15.3,0.0,10.71,4.6,3.0999999999999996,0,1,0
Manali,2021-02-04,2.8,0.8,27.1,0.0,18.97,4.6,1.9999999999999998,0,1,0
Manali,2021-02-05,4.4,1.0,0.3,0.0,0.21,3.3,3.4000000000000004,0,1,0
Manali,2021-02-06,7.6,0.3,0.0,0.0,0.0,5.9,7.3,0,0,0
Manali,2021-02-07,13.7,5.2,0.0,0.0,0.0,6.7,8.5,0,0,0
Manali,2021-02-08,15.5,8.9,0.0,0.0,0.0,4.7,6.6,0,0,0
Manali,2021-02-09,15.4,7.7,0.7,0.0,0.49,4.5,7.7,0,1,0
Manali,2021-02-10,10.6,4.7,6.0,0.0,4.2,5.4,5.8999999999999995,0,1,0
Manali,2021-02-11,13.1,5.3,0.0,0.0,0.0,4.7,7.8,0,0,0
Manali,2021-02-12,11.9,5.8,0.0,0.0,0.0,4.7,6.1000000000000005,0,0,0
Manali,2021-02-13,12.6,7.5,0.0,0.0,0.0,4.7,5.1,0,0,0
Manali,2021-02-14,11.6,5.0,0.0,0.0,0.0,4.8,6.6,0,0,0
Manali,2021-02-15,10.1,3.8,0.0,0.0,0.0,5.2,6.3,0,0,0
Manali,2021-02-16,9.0,2.4,0.0,0.0,0.0,5.9,6.6,0,0,0
Manali,2021-02-17,9.0,1.4,0.0,0.0,0.0,5.9,7.6,0,0,0
Manali,2021-02-18,8.9,1.7,0.0,0.0,0.0,5.6,7.2,0,0,0
Manali,2021-02-19,10.5,2.6,0.0,0.0,0.0,6.6,7.9,0,0,0
Manali,2021-02-20,13.3,7.2,0.3,0.1,0.14,4.0,6.1000000000000005,0,1,0
Manali,2021-02-21,15.0,9.3,6.0,4.1,1.33,4.0,5.699999999999999,0,1,0
Manali,2021-02-22,14.8,10.7,1.4,0.8,0.42,3.6,4.100000000000001,0,1,0
Manali,2021-02-23,12.2,4.4,21.0,8.2,8.96,6.4,7.799999999999999,0,1,0
Manali,2021-02-24,11.9,4.4,12.0,3.8,5.74,6.4,7.5,0,1,0
Manali,2021-02-25,13.5,9.1,14.0,8.9,3.57,6.1,4.4,0,1,0
Manali,2021-02-26,12.1,9.0,11.9,9.8,1.47,5.6,3.0999999999999996,0,1,0
Manali,2021-02-27,9.2,5.7,23.3,12.3,7.7,6.3,3.499999999999999,0,1,0
Manali,2021-02-28,10.3,6.9,5.2,0.4,3.36,5.4,3.4000000000000004,0,1,0
Manali,2021-03-01,11.5,5.9,19.0,2.9,11.27,4.8,5.6,0,1,0
Manali,2021-03-02,15.5,5.8,4.1,0.1,2.8,4.3,9.7,0,1,0
Manali,2021-03-03,14.3,7.9,9.8,2.6,5.04,5.1,6.4,0,1,0
Manali,2021-03-04,12.3,-0.5,23.3,0.4,16.1,5.6,12.8,0,1,0
Manali,2021-03-05,12.6,6.3,20.4,8.2,8.54,5.6,6.3,0,1,0
Manali,2021-03-06,14.8,7.0,7.5,2.7,3.36,5.3,7.800000000000001,0,1,0
Manali,2021-03-07,11.6,8.3,35.4,21.2,9.94,4.7,3.299999999999999,0,1,0
Manali,2021-03-08,12.0,7.4,28.6,12.0,11.62,3.6,4.6,0,1,0
Manali,2021-03-09,13.5,7.6,8.6,0.2,5.88,4.8,5.9,0,1,0
Manali,2021-03-10,11.4,8.7,4.4,0.9,2.45,4.0,2.700000000000001,0,1,0
Manali,2021-03-11,13.5,9.1,0.0,0.0,0.0,3.8,4.4,0,0,0
Manali,2021-03-12,11.7,8.3,3.0,0.0,2.1,4.9,3.3999999999999986,0,1,0
Manali,2021-03-13,14.4,7.4,0.0,0.0,0.0,5.1,7.0,0,0,0
Manali,2021-03-14,15.6,10.2,0.0,0.0,0.0,4.7,5.4,0,0,0
Manali,2021-03-15,15.0,8.3,0.0,0.0,0.0,4.3,6.699999999999999,0,0,0
Manali,2021-03-16,14.8,9.8,0.0,0.0,0.0,4.0,5.0,0,0,0
Manali,2021-03-17,14.3,9.5,0.7,0.2,0.35,4.5,4.800000000000001,0,1,0
Manali,2021-03-18,15.0,9.3,0.0,0.0,0.0,4.1,5.699999999999999,0,0,0
Manali,2021-03-19,14.4,9.5,0.3,0.1,0.14,4.4,4.9,0,1,0
Manali,2021-03-20,14.3,8.1,0.0,0.0,0.0,4.8,6.200000000000001,0,0,0
Manali,2021-03-21,15.0,9.3,7.3,3.5,2.66,4.7,5.699999999999999,0,1,0
Manali,2021-03-22,9.9,6.9,34.0,8.8,17.64,3.8,3.0,0,1,0
Manali,2021-03-23,10.7,6.3,16.5,0.4,11.27,5.2,4.3999999999999995,0,1,0
Manali,2021-03-24,11.8,5.9,0.0,0.0,0.0,4.8,5.9,0,0,0
Manali,2021-03-25,13.6,6.4,0.0,0.0,0.0,5.1,7.199999999999999,0,0,0
Manali,2021-03-26,15.6,8.7,0.0,0.0,0.0,6.3,6.9,0,0,0
Manali,2021-03-27,17.1,10.7,0.0,0.0,0.0,4.7,6.400000000000002,0,0,0
Manali,2021-03-28,18.3,11.1,7.4,7.4,0.0,4.3,7.200000000000001,0,0,0
Manali,2021-03-29,15.7,11.3,19.0,18.8,0.14,5.2,4.399999999999999,0,1,0
Manali,2021-03-30,15.0,8.7,30.1,27.7,1.68,4.7,6.300000000000001,0,1,0
Manali,2021-03-31,15.1,7.1,8.4,4.5,2.73,6.1,8.0,0,1,0
Manali,2021-04-01,13.7,7.9,23.0,14.1,6.23,4.9,5.799999999999999,0,1,0
Manali,2021-04-02,11.4,8.5,1.5,0.4,0.77,6.5,2.9000000000000004,0,1,0
Manali,2021-04-03,13.7,4.9,0.0,0.0,0.0,4.3,8.799999999999999,0,0,0
Manali,2021-04-04,17.9,8.1,1.2,1.2,0.0,5.0,9.799999999999999,0,0,0
Manali,2021-04-05,14.2,10.8,14.3,14.1,0.14,4.4,3.3999999999999986,0,1,0
Manali,2021-04-06,13.2,9.7,28.6,27.1,1.05,4.2,3.5,0,1,0
Manali,2021-04-07,14.7,6.8,22.1,9.4,8.89,4.8,7.8999999999999995,0,1,0
Manali,2021-04-08,11.1,6.5,11.9,5.4,4.55,4.8,4.6,0,1,0
Manali,2021-04-09,14.8,7.9,2.1,0.0,1.47,4.1,6.9,0,1,0
Manali,2021-04-10,16.2,8.8,0.0,0.0,0.0,4.7,7.399999999999999,0,0,0
Manali,2021-04-11,16.1,8.3,0.0,0.0,0.0,5.1,7.800000000000001,0,0,0
Manali,2021-04-12,15.1,9.7,0.3,0.3,0.0,5.8,5.4,0,0,0
Manali,2021-04-13,17.2,7.7,0.0,0.0,0.0,5.6,9.5,0,0,0
Manali,2021-04-14,17.3,11.0,0.0,0.0,0.0,4.7,6.300000000000001,0,0,0
Manali,2021-04-15,16.5,10.0,0.0,0.0,0.0,5.2,6.5,0,0,0
Manali,2021-04-16,16.9,11.1,2.5,1.7,0.56,4.5,5.799999999999999,0,1,0
Manali,2021-04-17,10.7,8.0,23.8,16.2,5.32,4.6,2.6999999999999993,0,1,0
Manali,2021-04-18,14.2,7.5,30.5,18.3,8.54,4.6,6.699999999999999,0,1,0
Manali,2021-04-19,16.1,9.8,19.8,14.3,3.85,3.6,6.300000000000001,0,1,0
Manali,2021-04-20,15.7,6.7,16.3,1.8,10.15,4.4,9.0,0,1,0
Manali,2021-04-21,11.3,6.9,32.4,11.7,14.49,3.9,4.4,0,1,0
Manali,2021-04-22,10.3,7.6,42.5,17.4,17.57,3.6,2.700000000000001,0,1,0
Manali,2021-04-23,10.6,6.8,33.6,4.3,20.51,3.2,3.8,0,1,0
Manali,2021-04-24,14.9,6.8,0.0,0.0,0.0,5.8,8.100000000000001,0,0,0
Manali,2021-04-25,17.6,10.7,0.0,0.0,0.0,6.9,6.900000000000002,0,0,0
Manali,2021-04-26,18.6,11.2,0.0,0.0,0.0,5.4,7.400000000000002,0,0,0
Manali,2021-04-27,19.2,11.8,0.0,0.0,0.0,5.5,7.399999999999999,0,0,0
Manali,2021-04-28,19.6,12.3,0.0,0.0,0.0,5.9,7.300000000000001,0,0,0
Manali,2021-04-29,19.3,12.6,0.0,0.0,0.0,5.5,6.700000000000001,0,0,0
Manali,2021-04-30,19.0,12.7,0.0,0.0,0.0,4.7,6.300000000000001,0,0,0
Manali,2021-05-01,18.8,12.5,0.0,0.0,0.0,4.7,6.300000000000001,0,0,0
Manali,2021-05-02,18.6,13.4,0.0,0.0,0.0,4.4,5.200000000000001,0,0,0
Manali,2021-05-03,18.6,11.4,0.0,0.0,0.0,3.6,7.200000000000001,0,0,0
Manali,2021-05-04,18.7,13.0,2.9,2.9,0.0,4.3,5.699999999999999,0,0,0
Manali,2021-05-05,16.4,12.6,1.7,1.7,0.0,4.3,3.799999999999999,0,0,0
Manali,2021-05-06,18.1,12.8,0.0,0.0,0.0,4.0,5.300000000000001,0,0,0
Manali,2021-05-07,14.8,9.5,15.4,14.9,0.35,4.0,5.300000000000001,0,1,0
Manali,2021-05-08,16.7,8.2,0.0,0.0,0.0,5.2,8.5,0,0,0
Manali,2021-05-09,17.3,12.5,0.0,0.0,0.0,3.3,4.800000000000001,0,0,0
Manali,2021-05-10,18.1,12.4,0.0,0.0,0.0,5.0,5.700000000000001,0,0,0
Manali,2021-05-11,18.7,13.1,0.0,0.0,0.0,6.6,5.6,0,0,0
Manali,2021-05-12,17.5,12.7,8.0,8.0,0.0,6.4,4.800000000000001,0,0,0
Manali,2021-05-13,14.3,10.0,22.3,22.3,0.0,6.1,4.300000000000001,0,0,0
Manali,2021-05-14,17.8,12.2,10.4,10.4,0.0,7.5,5.600000000000001,0,0,0
Manali,2021-05-15,18.7,10.2,9.5,9.5,0.0,9.5,8.5,0,0,0
Manali,2021-05-16,20.7,13.0,1.8,1.8,0.0,7.3,7.699999999999999,0,0,0
Manali,2021-05-17,21.7,13.3,1.9,1.9,0.0,9.7,8.399999999999999,0,0,0
Manali,2021-05-18,22.4,15.3,0.3,0.3,0.0,8.5,7.099999999999998,0,0,0
Manali,2021-05-19,18.5,14.9,4.6,4.6,0.0,5.9,3.5999999999999996,0,0,0
Manali,2021-05-20,19.5,14.3,11.6,11.6,0.0,6.8,5.199999999999999,0,0,0
Manali,2021-05-21,20.1,13.4,5.2,5.2,0.0,8.6,6.700000000000001,0,0,0
Manali,2021-05-22,20.7,14.6,0.9,0.9,0.0,7.4,6.1,0,0,0
Manali,2021-05-23,19.2,13.9,3.3,3.3,0.0,8.2,5.299999999999999,0,0,0
Manali,2021-05-24,20.7,12.8,1.7,1.7,0.0,7.9,7.899999999999999,0,0,0
Manali,2021-05-25,22.2,15.0,0.4,0.4,0.0,9.9,7.199999999999999,0,0,0
Manali,2021-05-26,23.7,14.4,2.4,2.4,0.0,8.4,9.299999999999999,0,0,0
Manali,2021-05-27,25.6,15.1,0.0,0.0,0.0,7.2,10.500000000000002,0,0,0
